user_id,item_id,rating
0,0,1
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
0,10,1
0,11,1
0,12,1
0,13,1
0,14,1
0,15,1
0,16,1
0,17,1
0,18,1
0,19,1
0,20,1
0,21,1
0,22,1
0,23,1
0,24,1
0,25,1
0,26,1
0,27,1
0,28,1
0,29,1
0,30,1
0,31,1
0,32,1
0,33,1
0,34,1
0,35,1
0,36,1
0,37,1
0,38,1
0,39,1
0,40,1
0,41,1
0,42,1
1,45,1
1,46,1
1,47,1
1,48,1
1,49,1
1,50,1
1,51,1
1,52,1
1,53,1
1,54,1
1,55,1
1,56,1
1,57,1
1,58,1
1,59,1
1,40,1
1,60,1
1,61,1
1,62,1
1,63,1
1,64,1
1,20,1
1,65,1
1,66,1
1,67,1
1,68,1
1,44,1
1,69,1
1,70,1
1,71,1
1,72,1
1,73,1
1,74,1
1,75,1
1,76,1
1,77,1
1,78,1
1,79,1
1,80,1
1,81,1
1,82,1
1,83,1
1,84,1
1,85,1
2,88,1
2,89,1
2,90,1
2,91,1
2,92,1
2,93,1
3,96,1
3,97,1
3,98,1
3,99,1
3,100,1
3,101,1
3,102,1
3,103,1
3,104,1
3,105,1
4,108,1
4,109,1
4,110,1
4,111,1
4,112,1
4,113,1
5,116,1
5,117,1
5,118,1
5,119,1
5,120,1
5,121,1
5,122,1
5,123,1
5,124,1
5,125,1
5,126,1
5,127,1
5,128,1
6,131,1
6,132,1
6,133,1
6,134,1
6,135,1
6,136,1
6,137,1
6,138,1
6,139,1
6,140,1
6,141,1
6,142,1
6,143,1
6,144,1
6,145,1
6,146,1
6,147,1
6,148,1
6,149,1
6,150,1
6,151,1
6,152,1
6,153,1
6,154,1
6,155,1
6,156,1
6,157,1
6,158,1
6,159,1
6,160,1
6,161,1
6,162,1
7,165,1
7,107,1
7,166,1
7,139,1
7,167,1
7,168,1
7,169,1
7,170,1
7,171,1
7,20,1
7,172,1
7,173,1
7,174,1
7,175,1
